Time,Eye,coord1,coord2,coord3,coord4,coord5,coord6,coord7,coord8,coord9,coord10,coord11,Confidence,Attention,Attention Details
1.251671,Left,0.02676702,2.278888,0.230519,0.2025288,1.018249,4.891027,40.53438,-5.84553,2.383599,40.01524,0.9980469,1,BG,BG
1.251671,Right,0.02676702,2.278888,0.230519,-0.06421808,1.014405,4.895596,40.90733,-7.985179,2.365946,40.01556,0.9980469,1,BG,BG
1.266569,Left,0.03081957,2.279679,0.2362849,0.243784,1.031563,4.886353,40.46518,-5.490527,2.228209,40.0104,0.9980469,1,BG,BG
1.266569,Right,0.03081957,2.279679,0.2362849,-0.02331256,1.029045,4.892905,40.81963,-7.626048,2.216297,40.011,0.9980469,1,BG,BG
1.280426,Left,0.03499226,2.280594,0.2422078,0.243784,1.031563,4.886353,1.035561,-0.185195,0.05132115,0.9938158,0.9980469,1,Text,acticle_2
1.280426,Right,0.03499226,2.280594,0.2422078,-0.02331256,1.029045,4.892905,1.044658,-0.1765152,0.05137554,0.9938079,0.9980469,1,Text,acticle_2
1.306852,Left,0.04370376,2.283621,0.254793,0.242384,1.08129,4.87566,40.45383,-5.286479,1.925881,40.03591,0.9980469,1,BG,BG
1.306852,Right,0.04370376,2.283621,0.254793,-0.02471951,1.079244,4.882071,40.80629,-7.421023,1.918202,40.04531,0.9980469,1,BG,BG
1.321507,Left,0.04820762,2.285629,0.2613343,0.08360787,1.044729,4.888921,1.029472,-0.2058502,0.0304984,0.9933031,0.9980469,1,Text,acticle_2
1.321507,Right,0.04820762,2.285629,0.2613343,-0.1821293,1.041858,4.886856,1.040205,-0.1968908,0.03051971,0.9932811,0.9980469,1,Text,acticle_2
1.348511,Left,0.057169,2.289625,0.2749261,0.08360787,1.044729,4.888921,1.036258,-0.2092036,0.008414254,0.9858337,0.9980469,1,Text,acticle_2
1.348511,Right,0.057169,2.289625,0.2749261,-0.1821293,1.041858,4.886856,1.047082,-0.2006181,0.008486852,0.9857982,0.9980469,1,Text,acticle_2
1.362803,Left,0.06177789,2.291361,0.2818745,0.05832076,1.100665,4.877001,1.034592,-0.2069305,0.01083985,0.9928845,0.9980469,1,Text,acticle_2
1.362803,Right,0.06177789,2.291361,0.2818745,-0.2073732,1.097592,4.873632,1.045427,-0.1982547,0.01090799,0.9928609,0.9980469,1,Text,acticle_2
1.390253,Left,0.07136003,2.294823,0.2958562,0.03156794,1.204425,4.852665,1.024946,-0.2044606,0.01820731,0.9857978,0.9980469,1,Text,acticle_2
1.390253,Right,0.07136003,2.294823,0.2958562,-0.2341035,1.201238,4.847909,1.035658,-0.1952552,0.01824354,0.9857448,0.9980469,1,Text,acticle_2
1.404924,Left,0.0764622,2.296254,0.3026363,0.03156794,1.204425,4.852665,1.039327,-0.2082684,0.0128026,0.992921,0.9980469,1,Text,acticle_2
1.404924,Right,0.0764622,2.296254,0.3026363,-0.2341035,1.201238,4.847909,1.050237,-0.1998556,0.01284741,0.9929012,0.9980469,1,Text,acticle_2
1.432518,Left,0.08634708,2.298578,0.3167146,0.04806852,1.24332,4.84271,1.027832,-0.196189,0.01539409,0.9856132,0.9980469,1,Text,acticle_2
1.432518,Right,0.08634708,2.298578,0.3167146,-0.2181016,1.240792,4.838685,1.038066,-0.1871294,0.01544027,0.985562,0.9980469,1,Text,acticle_2
1.447132,Left,0.09113031,2.299685,0.3240171,0.04806852,1.24332,4.84271,1.042374,-0.1986886,0.01452099,0.9926625,0.9980469,1,Text,acticle_2
1.447132,Right,0.09113031,2.299685,0.3240171,-0.2181016,1.240792,4.838685,1.052796,-0.190429,0.0145725,0.9926358,0.9980469,1,Text,acticle_2
1.473883,Left,0.1011957,2.301615,0.338383,0.03671622,1.298524,4.8283,1.031551,-0.1916218,0.02515136,0.9856339,0.9980469,1,Text,acticle_2
1.473883,Right,0.1011957,2.301615,0.338383,-0.2296424,1.296111,4.823625,1.041619,-0.1827627,0.0251991,0.9855723,0.9980469,1,Text,acticle_2
